,Dry Bulb Temperature,Global Horizontal Radiation,Cooling Demand
2017-06-09 22:00:00,20.8,0.0,1136.818583704443
2017-06-09 23:00:00,21.0,0.0,696.7828196775064
2017-06-10 00:00:00,20.0,0.0,255.08068588768745
2017-06-10 01:00:00,20.0,0.0,192.63483486850285
2017-06-10 02:00:00,21.0,0.0,192.5395541963101
2017-06-10 03:00:00,21.0,0.0,120.48742585176353
2017-06-10 04:00:00,20.5,0.0,191.1033094695365
2017-06-10 05:00:00,20.0,13.0,190.54491453580852
2017-06-10 06:00:00,20.0,37.0,165.75023465482303
2017-06-10 07:00:00,20.0,97.0,302.14911260189865
2017-06-10 08:00:00,20.0,142.0,614.2915204416756
2017-06-10 09:00:00,20.0,194.0,2767.677815588125
2017-06-10 10:00:00,20.5,338.0,3861.2246005179836
2017-06-10 11:00:00,21.0,501.0,3780.7605425439633
2017-06-10 12:00:00,20.0,633.0,5161.592926093807
2017-06-10 13:00:00,22.9,724.0,4826.222325655847
2017-06-10 14:00:00,22.0,737.0,3751.833654154844
2017-06-10 15:00:00,23.0,649.0,3587.548603644591
2017-06-10 16:00:00,23.8,507.0,3398.6990153311563
2017-06-10 17:00:00,23.0,335.0,3220.3743881809683
2017-06-10 18:00:00,23.0,157.0,3001.367981999152
2017-06-10 19:00:00,22.7,42.0,2702.6874252009225
2017-06-10 20:00:00,21.0,2.0,1547.96634163823
2017-06-10 21:00:00,21.0,0.0,561.9440084192688
2017-06-10 22:00:00,20.5,0.0,926.1983891441125
2017-06-10 23:00:00,21.0,0.0,686.3049429786121
2017-06-11 00:00:00,20.0,0.0,179.07595887488569
2017-06-11 01:00:00,20.0,0.0,165.90296153712399
2017-06-11 02:00:00,19.0,0.0,164.01905408716277
2017-06-11 03:00:00,19.0,0.0,91.93286589808505
2017-06-11 04:00:00,17.8,0.0,119.17319920365921
2017-06-11 05:00:00,18.0,59.0,100.33082544201483
2017-06-11 06:00:00,18.0,173.0,66.61019518671395
2017-06-11 07:00:00,19.5,339.0,139.27011352213344
2017-06-11 08:00:00,21.0,501.0,625.1142029518135
2017-06-11 09:00:00,21.0,551.0,3943.030088141642
2017-06-11 10:00:00,21.0,432.0,3204.7229103619993
